βάλλω	ballō	ballo	βαλῶ, ἔβαλον ορ ἔβαλα, βέβληκα, βέβλημαι, ἐβλήθην	906	965	122	v-2d(1)	to throw, pour; to put, set	pluperfect, ἐβεβλήμην, to throw, cast; to lay, Rev. 2:22; Mt. 8:6, 14; to put, place, Jas. 3:3; to place, deposit, Mt. 27:6; Mk. 12:41-44; Lk. 21:1-4; Jn. 12:6; to pour, Jn. 13:5; to thrust, Jn. 18:11; 20:27; Mk. 7:33; Rev. 14:19; to send forth, Mt. 10:34; to assault, strike, Mk. 14:65; met. to suggest, Jn. 13:2; intrans. to rush, beat, as the wind, Acts 27:14
βαπτίζω	baptizō	baptizo	(ἐβαπτιζόμην), βαπτίσω, ἐβάπτισα, -, βεβάπτισμαι, ἐβαπτίσθην	907	966	77	v-2a(1)	to baptize, wash; the baptizer	pr. to dip, immerse; to cleanse or purify by washing; to administer the rite of baptism, to baptize; met. with various reference to the ideas associated with Christian baptism as an act of dedication, e.g. marked designation, devotion, trial, etc.; mid. to procure baptism for one's self, to undergo baptism, Acts 22:16
βάπτισμα, -ατος, τό	baptisma	baptisma		908	967	19	n-3c(4)	baptism	pr. immersion; baptism, ordinance of baptism, Mt. 3:7; Rom. 6:4; met. baptism in the trial of suffering, Mt. 20:22, 23; Mk. 10:38, 39
βαπτισμός, οῦ, ὁ	baptismos	baptismos		909	968	4	n-2a	baptism, ceremonial washing	pr. an act of dipping or immersion: a baptism, Col. 2:12; Heb. 6:2; an ablution, Mk. 7:4; Heb. 9:10*
βαπτιστής, -οῦ, ὁ	baptistēs	baptistes		910	969	12	n-1f	Baptist, a surname of John	one who baptizes, a baptist, Mt. 3:1; 11:11, 12
βάπτω	baptō	bapto	βάψω, ἔβαψα, -, βέβαμμαι, -	911	970	4	v-4	to dip (in)	to dip, Jn. 13:26; Lk. 16:24; to dye, Rev. 19:13*
βάρ	bar	bar		920	971	0	n-3g(2)	Not in NIV. son	
Βαραββᾶς, -ᾶ, ὁ	Barabbas	Barabbas		912	972	11	n-1e	Barabbas, son of a father} poss. {son of a rabbi	Barabbas, pr. name
Βαράκ, ὁ	Barak	Barak		913	973	1	n-3g(2)	Barak, lightning	Barak, pr. name, indecl., Heb. 11:32*
Βαραχίας, ου, ὁ	Barachias	Barachias		914	974	1	n-1d	Berekiah, Yahweh blesses	Barachias, pr. name, Mt. 23:35
βάρβαρος, ον	barbaros	barbaros		915	975	6	a-3a	non-Greek, foreign, barbarian; someone who speaks an unintelligible language	pr. one to whom a pure Greek dialect is not native; one who is not a proper Greek, a barbarian, Rom. 1:14; Col. 3:11; Acts 28:2, 4; a foreigner speaking a strange language, 1 Cor. 14:11*
βαρέω	bareō	bareo	-, ἐβάρησα, -, βεβάρημαι, ἐβαρήθην	916	976	6	v-1d(2a)	(pass.) to be burdened, under pressure	to be heavy upon, weigh down, burden, oppress, as sleep, Mt. 26:43; Mk. 14:40; Lk. 9:32; calamities, 2 Cor. 1:8; 5:4; or, trouble, care, expense, etc. 1 Tim. 5:16*
βαρέως	bareōs	bareos		917	977	2	adverb	with difficulty	heavily;, met. with difficulty, dully, stupidly, Mt. 13:15; Acts 28:27*
Βαρθολομαῖος, ου, ὁ	Bartholomaios	Bartholomaios		918	978	4	n-2a	Bartholomew, son of Talmai	Bartholomew, pr. name
Βαριησοῦς, οῦ, ὁ	Bariēsous	Bariesous		919	979	1	n-3g(1)	Bar-Jesus, son of Jesus [Joshua]	Bar-jesus, pr. name, Acts 13:6*
Βαριωνᾶ, ὁ	Bariōna	Bariona		920	980	1	n-3g(2)	son of Jonah, Bar-Jona, son of Jonah} or {John	also Βὰρ Ἰωνᾶ ορ Βαριωνᾶς, Bar-jona, pr. name, Mt. 16:17*
Βαριωνᾶς, ᾶ, ὁ	Bariōnas	Barionas		920	981	0	n-1e	son of Jonah, Bar-Jona, son of Jonah} or {John	
Βαρναβᾶς, -ᾶ, ὁ	Barnabas	Barnabas		921	982	28	n-1e	Barnabas, son of comfort	Barnabas, pr. name, Acts 4:36; 13:1f.; 14:12; 15:2f.; 1 Cor. 9:6; Gal. 2:1, 9, 13; Col. 4:10
βάρος, ους, τό	baros	baros		922	983	6	n-3d(2b)	burden, weight; this can refer either to difficulty or importance	weight, heaviness; a burden, anything grievous and hard to be borne, Mt. 20:12; Acts 15:28; Gal. 6:2; Rev. 2:24; burden, charge or weight, influence, dignity, honor, 1 Thess. 2:7; with another noun in government, fulness, abundance, excellence, 2 Cor. 4:17*
Βαρσαββᾶς, ᾶ, ὁ	Barsabbas	Barsabbas		923	984	2	n-1e	Barsabbas, son of the Sabbath} or {son of Saba	Bar-sabas, pr. name (1) Joseph, surnamed Justus, Acts 1:23 (2) Judas, Acts 15:22*
Βαρτιμαῖος, ου, ὁ	Bartimaios	Bartimaios		924	985	1	n-2a	Bartimaeus, son of Timai} or {son of uncleanness	Bartimaeus, pr. name, Mk. 10:46*
βαρύς, εῖα, ύ	barys	barys		926	987	6	a-2b	burdensome, heavy, important; savage, fierce	heavy;, met. burdensome, oppressive or difficult of observance, as precepts, Mt. 23:4; 1 Jn. 5:3; weighty, important, momentous, Mt. 23:23; Acts 25:7; grievous, oppressive, afflictive, violent, Acts 20:29; authoritative, strict, stern, severe, 2 Cor. 10:10*
βαρύτιμος, ον	barytimos	barytimos		927	988	1	a-3a	very expensive	of great price, precious, Mt. 26:7*
βασανίζω	basanizō	basanizo	(ἐβασάνιζον), -, ἐβασάνισα, -, -, ἐβασανίσθην	928	989	12	v-2a(1)	to torture, torment; (pass.) to be tortured, tormented, in pain	pr. to apply the lapis Lydius or touchstone; met. to examine, scrutinize, try, either by words or torture; in NT to afflict, torment; pass. to be afflicted, tormented, pained, by diseases, Mt. 8:6, 29, 35; to be tossed, agitated, as by the waves, Mt. 14:24
βασανισμός, οῦ, ὁ	basanismos	basanismos		929	990	6	n-2a	torment, torture, agony	pr. examination by torture; torment, torture, Rev. 9:5; 14:11; 18:7, 10, 15*
βασανιστής, οῦ, ὁ	basanistēs	basanistes		930	991	1	n-1f	torturer	pr. an inquisitor, tormentor; in NT a keeper of a prison, jailer, Mt. 18:34*
βάσανος, ου, ἡ	basanos	basanos		931	992	3	n-2b	torment, severe pain, torture	pr. lapis Lydius, a species of stone from Lydia, which being applied to metals was thought to indicate any alloy which might be mixed with them, and therefore used in the trial of metals; hence, examination of a person, especially by torture; in NT torture, torment, severe pain, Mt. 4:24; Lk. 16:23, 28*
βασιλεία, -ας, ἡ	basileia	basileia		932	993	162	n-1a	kingdom, kingship, royal rule	a kingdom, realm, the region or country governed by a king; kingly power, authority, dominion, reign; royal dignity, the title and honor of king; ἡ βασιλεια, Mt. 9:35, ἡ βασιλεια τοῦ θεοῦ or τοῦ Χριστου or τοῦ οὐρανοῦ or τῶν οὐρανῶν, the reign or kingdom of the Messiah, both in a false and true conception of it; used also with various limitation, of its administration and coming history, as in the parables; its distinctive nature, Rom. 14:17; its requirements, privileges, rewards, consummation
βασίλειος, ον	basileios	basileios		933	994	2	a-3a	royal, kingly; as a noun, a residence of royalty: palace	royal, regal;, met. possessed of high prerogatives and distinction, 1 Pet. 2:9; τὰ βαειλεια, sc. δώματα, regal mansion, palaces, Lk. 7:25*
βασιλεύς, -έως, ὁ	basileus	basileus		935	995	115	n-3e(3)	king	a king, monarch, one possessing regal authority,
βασιλεύω	basileuō	basileuo	βασιλεύσω, ἐβασίλευσα, -, -, -	936	996	21	v-1a(6)	to reign as a king, become king	to possess regal authority, be a king, reign; to rule, govern, Mt. 2:22; met. to be in force, predominate, prevail, Rom. 5:14, 17, 21; met. to be in kingly case, fare royally, 1 Cor. 4:8
βασιλικός, ή, όν	basilikos	basilikos		937	997	5	a-1a(2a)	royal, noble, kingly; as a noun, royal official (possibly of the Herodian family)	royal, regal, Acts 12:20, 21; βασιλικός, used as a subst. a person attached to the king, courtier, Jn. 4:46, 49; met. royal, of the highest excellence, Jas. 2:8*
βασιλισ√κος, ου, ὁ	basiliskos	basiliskos		937	998	0	n-2a)	petty king	
βασίλισσα, ης, ἡ	basilissa	basilissa		938	999	4	n-1c	queen	a queen, Mt. 12:42; Lk. 11:31; Acts 8:27; Rev. 18:7*
βάσις, εως, ἡ	basis	basis		939	1000	1	n-3e(5b)	foot	pr. a step; the foot, Acts 3:7*
βασκαίνω	baskainō	baskaino	-, ἐβάσκανα, -, -, -	940	1001	1	v-2d(4)	to bewitch	pr. to slander; thence, to bewitch by spells, or by any other means; to delude, Gal. 3:1*
βαστάζω	bastazō	bastazo	βαστάσω, ἐβάστασα, -, -, -	941	1002	27	v-2a(1)	to carry, bear up, carry off; to tolerate, help, support	pr. to lift, raise, bear aloft; to bear, carry in the hands or about the person; carry as a message, Acts 9:15; to take away, remove, Mt. 8:17; Jn. 20:15; to take up, Jn. 10:31; Lk. 14:27; to bear as a burden endure, suffer; to sustain, Rom. 11:18; to bear with, tolerate; to sustain mentally, comprehend, Jn. 16:12
βάτος, οῦ, ἡ ανδ ὁ	batos	batos		942	1003	5	n-2a	bush, brier, thornbush	a thorn-bush, Mk. 12:26; Lk. 6:44; 20:37; Acts 7:30, 35*
βάτραχος, ου, ὁ	batrachos	batrachos		944	1005	1	n-2a	frog	a frog, Rev. 16:13
βατταλογέω	battalogeō	battalogeo	βατταλογήσω, ἐβατταλόγησα, -, -, -	945	1006	1	v-1d(2a)	to babble, prattle	also spelled βαττολογέω, pr. to stammer; hence, to babble; to use vain repetitions, Mt. 6:7*
βδέλυγμα, ατος, τό	bdelygma	bdelygma		946	1007	6	n-3c(4)	abomination, something detestable	an abomination, an abominable thing, Mt. 24:15; Mk. 13:14; idolatry with all its pollution, Lk. 16:15; Rev. 17:4, 5; 21:27*
βδελυκτός, ή, όν	bdelyktos	bdelyktos		947	1008	1	a-1a(2a)	detestable, abominable	abominable, detestable, Tit. 1:16*
βδελύσσομαι	bdelyssomai	bdelyssomai	-, -, -, ἐβδέλυγμαι, -	948	1009	2	v-2b	(mid.) to abhor, detest; (pass.) to be vile, abhorrent	to abominate, loathe, detest, abhor, Rom. 2:22; pass. to be abominable, detestable, Rev. 21:8*
βέβαιος, α, ον	bebaios	bebaios		949	1010	8	a-1a(1)	firm, sure, certain, binding	firm, stable, steadfast, Heb. 3:14; 6:19; sure, certain, established, Rom. 4:16
βεβαιόω	bebaioō	bebaioo	βεβαιώσω, ἐβεβαίωσα, -, -, ἐβεβαιώθην	950	1011	8	v-1d(3)	to confirm; keep strong	to confirm, establish; to render constant and unwavering, 1 Cor. 1:8; to strengthen or establish by arguments or proofs, ratify, Mk. 16:20; to verify, as promises, Rom. 15:8
βεβαίωσις, εως, ἡ	bebaiōsis	bebaiosis		951	1012	2	n-3e(5b)	confirmation	confirmation, firm establishment, Phil. 1:7; Heb. 6:16*
βέβηλος, ον	bebēlos	bebelos		952	1013	5	a-3a	godless, irreligious, profane, worldly	pr. what is open and accessible to all; hence, profane, not religious, not connected with religion; unholy; a despiser, scorner, 1 Tim. 1:9; 4:7
βεβηλόω	bebēloō	bebeloo	-, ἐβεβήλωσα, -, -, -	953	1014	2	v-1d(3)	to desecrate, profane	to profane, pollute, violate, Mt. 12:5; Acts 24:6*
Βεελζεβούλ	Beelzeboul	Beelzeboul		954	1015	7	n-3g(2)	Beelzebub, lord [baal] of the flies	variant spellings of Βεελζεβούβ and βεελζεβούλ, Beelzeboul, pr. name, indecl., Mt. 10:25
Βελιάρ, ὁ	Beliar	Beliar		955	1016	1	n-3g(2)	Belial, wicked, without use	Belial, pr. name, indecl., 2 Cor. 6:15*
βελόνη, ης, ἡ	belonē	belone		4476	1017	1	n-1b	needle	pr. the point of a spear; a needle, Lk. 18:25*
βέλος, ους, τό	belos	belos		956	1018	1	n-3d(2b)	arrow	a missile weapon, dart, arrow, Eph. 6:16*
βελτίων, ον	beltiōn	beltion		957	1019	1	a-4b(1)	having a detailed knowledge, translated better, very well	better;, βέλτιον, as an adv., very well, too well to need informing, 2 Tim. 1:18*
Βενιαμίν, ὁ	Beniamin	Beniamin		958	1021	4	n-3g(2)	Benjamin, son of the right hand} or {Southerner	Benjamin, pr. name, indecl. Acts 13:21; Rom. 11:1; Phil. 3:5; Rev. 7:8*
Βερνίκη, ης, ἡ	Bernikē	Bernike		959	1022	3	n-1b	Bernice, victorious	Bernice, pr. name, Acts 25:13, 23; 26:30*
Βέροια, ας, ἡ	Beroia	Beroia		960	1023	2	n-1a	Berea	Berea, a town of Macedonia, Acts 17:10, 13*
Βεροιαῖος, α, ον	Beroiaios	Beroiaios		961	1024	1	a-1a(1)	Berean, person of Berea	belonging to Berea, Acts 20:4*
Βεώρ, ὁ,	Beōr	Beor		1007	1027	0	n-3g(2)	Beor, [perhaps] {a burning	
Βηθανία, -ας, ἡ	Bēthania	Bethania		963	1029	12	n-1a	Bethany, House of Ananiah} [or {the poor} or {unripe figs]	Bethany, (1) A village near Jerusalem, at the Mount of Olives, Mt. 21:17; Mk. 11:1. (2) A village beyond the Jordan, Jn. 1:28
Βηθεσδά, ἡ	Bēthesda	Bethesda		964	1031	0	n-3g(2)	Bethesda, site [house] of mercy	Bethesda, indecl., Jn. 5:2*
Βηθζαθά, ἡ	Bēthzatha	Bethzatha		964	1032	1	n-3g(2)	Bethzatha	
Βηθλέεμ, ἡ	Bēthleem	Bethleem		965	1033	8	n-3g(2)	Bethlehem, house of bread} poss. {temple of Lakhmu	Bethlehem, indecl., a town in Palestine
Βηθσαι&δά, ἡ	Bēthsaida	Bethsaida		966	1034	7	n-3g(2)	Bethsaida, site [house] of fishing	also spelled Βηθσαιδάν (1035) Bethsaida, indecl. (1) A city of Galilee, Mt. 11:21; Mk. 6:45,. (2) A city of Lower Gaulanitis, near the Lake of Gennesareth, Lk. 9:10
Βηθφαγή, ἡ	Bēthphagē	Bethphage		967	1036	3	n-3g(2)	Bethphage, house of unripe figs	Bethphage, indecl., a part of the Mount of Olives, Mt. 21:1; Mk. 11:1; Lk. 19:29*
βῆμα, -ατος, τό	bēma	bema		968	1037	12	n-3c(4)	judicial court, judge's seat; this can refer to human or divine judgment	a step, footstep, foot-breadth, space to set the foot on, Acts 7:5; an elevated place ascended by steps, tribunal, throne, Mt. 27:19; Acts 12:21
βηρεύς, εως, ὁ	bēreus	bereus		0	1038	0	n-3e(3)	Bereus	
βήρυλλος, ου, ὁ	bēryllos	beryllos		969	1039	1	n-2a	beryl, a semi-precious stone of sea-green color	a beryl, a precious stone of a sea-green color, found chiefly in India, Rev. 21:20*
βία, ας, ἡ	bia	bia		970	1040	3	n-1a	force, violence, pounding (of surf)	force, impetus, violence, Acts 5:26; 21:35; 27:41*
βιάζω	biazō	biazo	βιάσω, ἐβίασα, -, -, -	971	1041	2	v-2a(1)	(mid.) to force one's way	also written as a middle deponent, βιάζομαι, to urge, constrain, overpower by force; to press earnestly forward, to rush, Lk. 16:16; pass. to be an object of a forceful movement, Mt. 11:12*
βίαιος, α, ον	biaios	biaios		972	1042	1	a-1a(1)	violent, strong	violent, strong, Acts 2:2*
βιαστής, οῦ, ὁ	biastēs	biastes		973	1043	1	n-1f	forceful one	one who uses violence, or is impetuous; one who is forceful in eager pursuit, Mt. 11:12*
βιβλαρίδιον, ου, τό	biblaridion	biblaridion		974	1044	3	n-2c	little scroll	a small volume, or scroll, a little book, Rev. 10:2, 9, 10*
βιβλίον, -ου, τό	biblion	biblion		975	1046	34	n-2c	scroll, book, certificate	a written volule, or roll, book, Lk. 4:17, 20; a scroll, bill, billet, Mt. 19:7; Mk. 10:4
βίβλος, -ου, ἡ	biblos	biblos		976	1047	10	n-2b	book, scroll	pr. the inner bark or rind of the papyrus, which was anciently used instead of paper; hence, a written volume or roll, book, catalogue, account, Mt. 1:1; Mk. 12:26
βιβρώσκω	bibrōskō	bibrosko	-, -, βέβρωκα, βέβρωμαι, ἐβεβρώθην	977	1048	1	v-5a	to eat	to eat, Jn. 6:13*
Βιθυνία, ας, ἡ	Bithunia	Bithunia		978	1049	2	n-1a	Bithynia	Bithynia, a province of Asia Minor, Acts 16:7; 1 Pet. 1:1*
βίος, -ου, ὁ	bios	bios		979	1050	10	n-2a	(everyday) life; what one lives on, property, possessions	life; means of living; sustenance, maintenance, substance, goods, Mk. 12:44, Lk. 8:14, 43; 15:12, 30; 21:4; 1 Tim. 2:2; 2 Tim. 2:4; 1 Jn. 2:16; 3:17*
βιόω	bioō	bioo	-, ἐβίωσα, -, -, -	980	1051	1	v-1d(3)	to live	to live, 1 Pet. 4:2*
βίωσις, εως, ἡ	biōsis	biosis		981	1052	1	n-3e(5b)	the way one lives	manner of life, Acts 26:4*
βιωτικός, ή, όν	biōtikos	biotikos		982	1053	3	a-1a(2a)	(lesser things) of this life	pertaining to this life, or the things of this life, Lk. 21:34; 1 Cor. 6:3, 4*
βλαβερός, ά, όν	blaberos	blaberos		983	1054	1	a-1a(1)	harmful	hurtful, 1 Tim. 6:9*
βλάπτω	blaptō	blapto	-, ἔβλαψα, -, -, ἐβλάφθην	984	1055	2	v-4	to hurt, injure	pr. to weaken, hinder, disable; to hurt, harm, injure, Mk. 16:18; Lk. 4:35*
βλαστάνω	blastanō	blastano	-, ἐβλάστησα, -, -, -	985	1056	4	v-3a(2a)	to sprout, bud	also spelled βλαστάω, intrans. to germinate, bud, sprout, spring up, Mt. 13:26; Mk. 4:27; Heb. 9:4; trans. and causative, to cause to shoot, to produce, yield, Jas. 5:18*
Βλάστος, ου, ὁ	Blastos	Blastos		986	1058	1	n-2a	Blastus, sprout [of a vine or branch]	Blastus, pr. name, Acts 12:20*
βλασφημέω	blasphēmeō	blasphemeo	(ἐβλασφήμουν), -, ἐβλασφήμησα, -, -, ἐβλασφημήθην	987	1059	34	v-1d(2a)	to blaspheme, insult, slander, curse	to defame, revile, slander, Mt. 27:39; to speak of God or divine things in terms of impious irreverence, to blaspheme, Mt. 9:3; 26:65
βλασφημία, -ας, ἡ	blasphēmia	blasphemia		988	1060	18	n-1a	blasphemy, slander, malicious talk	slander, railing, reproach, Mt. 15:19; Mk. 7:22; blasphemy, Mt. 12:31; 26:65
βλάσφημος, ον	blasphēmos	blasphemos		989	1061	4	a-3a	blasphemous, slanderous, abusive, evil, hurtful (speech); as a noun, a reviler, blasphemer	slanderous, railing, reproachful, 2 Tim. 3:2; 2 Pet. 2:11; blasphemous, Acts 6:11, 13; 1 Tim. 1:13
βλέμμα, ατος, τό	blemma	blemma		990	1062	1	n-3c(4)	act of seeing	a look; the act of seeing, sight, 2 Pet. 2:8*
βλέπω	blepō	blepo	βλέψω, ἔβλεψα, -, -, -	991	1063	133	v-1b(1)	to see, look at; to watch out, beware, pay attention	to have the faculty of sight, to see, Mt. 12:22; to exercise sight, to see, Mt. 6:4; to look towards or at, Mt. 22:16; to face, Acts 27:12; to take heed, Mt. 24:4; in NT, βλέπειν ἀπό, to beware of, shun, Mk. 8:15; trans., to cast a look on, Mt. 5:28; to see, behold, Mt. 13:17; to observe, Mt. 7:3; to have an eye to, see to, Mk. 13:9; Col. 4:17; 2 Jn. 8; to discern mentally, perceive, Rom. 7:23; 2 Cor. 7:8; Jas. 2:22; to guard against, Phil. 3:2; pass., to be an object of sight, be visible, Rom. 8:24
βλητέος, α, ον	blēteos	bleteos		992	1064	1	a-1a(1)	must be put	requiring to be cast, or put, Lk. 5:38*
Βοανηργές	Boanērges	Boanerges		993	1065	1	n-3g(2)	Boanerges, sons of thunder	Boanerges, pr. name, indecl., Mk. 3:17*
βοάω	boaō	boao	(ἐβόων), βοήσω, ἐβόησα, -, -, -	994	1066	12	v-1d(1a)	to call, cry out, shout	to cry out; to exclaim, proclaim, Mt. 3:3; 15:34; Acts 8:7; πρός τινα, to invoke, implore the aid of any one, Lk. 18:7
Βόες, ὁ	Boes	Boes		1003	1067	2	n-3g(2)	Boaz, [perhaps] {in him is strength	Boaz, pr. name, indecl., Mt. 1:5*
βοή, ης, ῆ	boē	boe		995	1068	1	n-1b	cry, shout	a cry, outcry, exclamation, Jas. 5:4*
βοήθεια, ας, ἡ	boētheia	boetheia		996	1069	2	n-1a	help; support (to hold something together with ropes or cables)	help, succor, Heb. 4:16; meton. pl. helps, contrivances for relief and safety, Acts 27:17*
βοηθέω	boētheō	boetheo	-, ἐβοήθησα, -, -, -	997	1070	8	v-1d(2a)	to help, come to the aid of	to run to the aid of those who cry for help; to advance to the assistance of any one, help, aid, succor, Mt. 15:25; Mk. 9:22, 24
βοηθός, όν	boēthos	boethos		998	1071	1	a-3a	helpful (one)	a helper, Heb. 13:6*
βόθρος, ου, ὁ	bothros	bothros		999	1072	0	n-2a)	pit, cistern	
βόθυνος, ου, ὁ	bothunos	bothunos		999	1073	3	n-2a	pit, cistern	a pit, well, or cistern, Mt. 12:11; 15:14; Lk. 6:39*
βολή, ῆς, ἡ	bolē	bole		1000	1074	1	n-1b	throwing	a cast, a throw; the distance to which a thing can be thrown, Lk. 22:41*
βολίζω	bolizō	bolizo	-, ἐβόλισα, -, -, -	1001	1075	2	v-2a(1)	to take a sounding (a nautical technical term)	to take soundings, sound, Acts 27:28*
βολίς, ίδος, ἡ	bolis	bolis		1002	1076	0	n-3c(2)	missile, arrow, javelin	
Βόοζ, ὁ	Booz	Booz		1003	1077	0	n-3g(2)	Boaz, [perhaps] {in him is strength	
Βόος, ὁ	Boos	Boos		1003	1078	1	n-3g(2)	Boaz, [perhaps] {in him is strength	also spelled Βόοζ, Boaz, pr. name, indecl., Lk. 3:32*
βόρβορος, ου, ὁ	borboros	borboros		1004	1079	1	n-2a	mud, filth, slime	mud, mire, dung, filth, 2 Pet. 2:22*
βορρᾶς, ᾶ, ὁ	borras	borras		1005	1080	2	n-1e	the north	pr. the north or N.N.E. wind; meton. the north, Lk. 13:29; Rev. 21:13*
βόσκω	boskō	bosko	-, -, -, -, -	1006	1081	9	v-5a	to feed, tend; (pass.) to eat, graze	to feed, pasture, tend while grazing;, βόσκομαι, to feed, be feeding, Mt. 8:30, 33; Lk. 8:32, 34
Βοσόρ, ὁ	Bosor	Bosor		1007	1082	1	n-3g(2)	Bosor	Bosor, pr. name, indecl., 2 Pet. 2:15*
βοτάνη, ῆς, ἡ	botanē	botane		1008	1083	1	n-1b	crop (from any kind of plant or vegetation)	herb, herbage, produce of the earth, Heb. 6:7*
βότρυς, υος, ὁ	botrys	botrys		1009	1084	1	n-3e(1)	grape cluster, bunch of grapes	a bunch, or cluster of grapes, Rev. 14:18*
βουλευτής, οῦ, ὁ	bouleutēs	bouleutes		1010	1085	2	n-1f	member of a council (an advisory or legislative body)	a counsellor, senator; member of the Sanhedrin, Mk. 15:43; Lk. 23:50*
βουλεύω	bouleuō	bouleuo	(ἐβουλευόμην), βουλεύσω, ἐβούλευσα, -, βεβούλευμαι, -	1011	1086	6	v-1a(6)	to make plans, consider, decide, plot	mid., to give counsel; to deliberate, Lk. 14:31; Jn. 12:10; 11:53; to purpose, determine, Acts 27:39; 2 Cor. 1:17 (2x)*
βουλή, -ῆς, ἡ	boulē	boule		1012	1087	12	n-1b	plan, purpose, will, decision	counsel, purpose, design, determination, decree, Lk. 7:30; 23:51, et al. freq.; by impl. secret thoughts, cogitations of the mind, 1 Cor. 4:5
βούλημα, ατος, τό	boulēma	boulema		1013	1088	3	n-3c(4)	plan, will, choice	purpose, will, determination, Acts 27:43; Rom. 9:19; 1 Pet. 4:3*
βούλομαι	boulomai	boulomai	(ἐβουλόμην), -, -, -, -, ἐβουλήθην	1014	1089	37	v-1d(2c)	to wish, will, desire; to choose, determine, plan	to be willing, disposed, Mk. 15:15; Acts 25:20; 28:18; to intend, Mt. 1:19; Acts 5:28; 12:4; 2 Cor. 1:15; to desire, 1 Tim. 6:9; to choose, be pleased, Jn. 18:39; Acts 18:15; Jas. 3:4; to will, decree, appoint, Lk. 22:42; Jas. 1:18; 1 Cor. 12:11; 1 Tim. 2:8; 5:14; ἐβουλόμην, I could wish, Acts 25:22
βουνός, οῦ, ὁ	bounos	bounos		1015	1090	2	n-2a	hill	a hill, rising ground, Lk. 3:5; 23:30*
βοῦς, ός, ὁ	bous	bous		1016	1091	8	n-3e(4)	ox, cattle	an ox, a bull, or cow, an animal of the ox kind, Lk. 13:15
βραβεῖον, ου, τό	brabeion	brabeion		1017	1092	2	n-2c	prize (from a contest or foot race)	a prize, bestowed on victors in the public games, such as a crown, wreath, chaplet, garland, etc., 1 Cor. 9:24; Phil. 3:14*
βραβεύω	brabeuō	brabeuo	-, -, -, -, -	1018	1093	1	v-1a(6)	to rule	pr. to be a director or arbiter in the public games; in NT to preside, direct, rule, govern, be predominate, Col. 3:15*
βραδύνω	bradynō	bradyno	-, -, -, -, -	1019	1094	2	v-3a(1)	to delay, hesitate	to be slow, to delay, 1 Tim. 3:15; 2 Pet. 3:9*
βραδυπλοέω	bradyploeō	bradyploeo	-, -, -, -, -	1020	1095	1	v-1a(7)	to sail slowly	to sail slowly, Acts 27:7*
βραδύς, εῖα, ύ	bradys	bradys		1021	1096	3	a-2b	slow	slow, not hasty, Jas. 1:19; slow of understanding, heavy, stupid, Lk. 24:25*
βραδύτης, ητος, ἡ	bradytēs	bradytes		1022	1097	1	n-3c(1)	slowness	slowness, tardiness, delay, 2 Pet. 3:9*
βραχίων, ονος, ὁ	brachiōn	brachion		1023	1098	3	n-3f(1b)	arm; a figure of power and authority	the arm; the arm, as a symbol of power, Lk. 1:51; Jn. 12:38; Acts 13:17*
βραχύς, εῖα, ύ	brachus	brachus		1024	1099	7	a-2b	little, short	short, brief; few, small, Lk. 22:58; Jn. 6:7; Acts 5:34; 27:28; Heb. 2:7, 9; 13:22*
βρέφος, ους, τό	brephos	brephos		1025	1100	8	n-3d(2b)	baby, infant	a child;, whether unborn, an embryo, fetus, Lk. 1:41, 44; or just born, an infant, Lk. 2:12, 16; Acts 7:19; or partly grown, Lk. 18:15; 2 Tim. 3:15; met. a babe in simplicity of faith, 1 Pet. 2:2*
